time,open,high,low,close,volume
2022-07-15 19:45:00,150.03,150.05,150.0,150.01,9047
2022-07-15 19:30:00,149.98,150.03,149.98,149.99,2640
2022-07-15 19:15:00,149.97,150.05,149.97,149.99,4076
2022-07-15 19:00:00,150.01,150.05,149.98,149.99,5786
2022-07-15 18:45:00,150.0,150.0,149.98,150.0,17328
2022-07-15 18:30:00,150.02,150.05,150.01,150.01,9467
2022-07-15 18:15:00,150.01,150.02,150.0,150.01,6273
2022-07-15 18:00:00,150.02,150.02,150.0098,150.01,5668
2022-07-15 17:45:00,150.0199,150.02,150.0,150.01,10516
2022-07-15 17:30:00,150.0101,150.02,149.99,150.0,12885
2022-07-15 17:15:00,150.02,150.05,150.0,150.01,41122
2022-07-15 17:00:00,150.03,150.17,149.99,150.02,69887
2022-07-15 16:45:00,149.99,150.17,149.98,150.0,81488
2022-07-15 16:30:00,150.06,150.17,149.96,150.0,405867
2022-07-15 16:15:00,150.14,150.27,149.78,150.056,1728409
2022-07-15 16:00:00,149.525,150.25,149.28,150.17,8056923
2022-07-15 15:45:00,149.205,149.54,149.05,149.53,2185204
2022-07-15 15:30:00,149.375,149.49,149.16,149.2094,1638153
2022-07-15 15:15:00,149.3501,149.61,149.14,149.3778,1709279
2022-07-15 15:00:00,149.4,149.57,149.31,149.35,1457713
2022-07-15 14:45:00,149.41,149.46,149.18,149.3993,1178372
2022-07-15 14:30:00,149.12,149.425,149.05,149.41,1780541
2022-07-15 14:15:00,149.1219,149.15,148.86,149.12,1127718
2022-07-15 14:00:00,149.395,149.43,148.83,149.135,1632283
2022-07-15 13:45:00,149.3247,149.51,149.22,149.3924,1354732
2022-07-15 13:30:00,149.0072,149.33,148.862,149.325,1384550
2022-07-15 13:15:00,148.91,149.08,148.81,149.0,1072800
2022-07-15 13:00:00,148.82,149.058,148.77,148.91,1648363
2022-07-15 12:45:00,148.755,148.83,148.43,148.81,1406238
2022-07-15 12:30:00,148.54,148.83,148.45,148.76,1443040
2022-07-15 12:15:00,148.79,148.86,148.2,148.5488,2413312
2022-07-15 12:00:00,149.145,149.365,148.79,148.791,1625986
2022-07-15 11:45:00,149.04,149.22,148.92,149.15,1852250
2022-07-15 11:30:00,149.5,149.57,149.025,149.04,1350919
2022-07-15 11:15:00,149.25,149.63,149.1197,149.5,2119062
2022-07-15 11:00:00,149.05,149.38,148.84,149.26,2769101
2022-07-15 10:45:00,149.72,149.75,149.04,149.0532,2032896
2022-07-15 10:30:00,149.66,149.79,148.96,149.71,2988805
2022-07-15 10:15:00,149.38,150.52,149.38,149.65,4169530
2022-07-15 10:00:00,149.47,149.49,148.78,149.37,4035885
2022-07-15 09:45:00,149.78,150.86,149.24,149.465,9404383
2022-07-15 09:30:00,149.7419,150.0,149.3,149.78,310383
2022-07-15 09:15:00,149.67,150.07,149.59,149.76,376084
2022-07-15 09:00:00,149.0,149.84,149.0,149.6301,298487
2022-07-15 08:45:00,148.34,149.1,148.0,149.04,225064
2022-07-15 08:30:00,148.61,148.61,148.2,148.37,135168
2022-07-15 08:15:00,148.86,149.27,148.47,148.66,161763
2022-07-15 08:00:00,148.74,148.9,148.59,148.59,22870
2022-07-15 07:45:00,148.99,149.09,148.74,148.75,23382
2022-07-15 07:30:00,149.0,149.02,148.8,149.02,20835
2022-07-15 07:15:00,148.81,149.0,148.81,149.0,20109
2022-07-15 07:00:00,148.74,148.75,148.73,148.73,1495
2022-07-15 06:45:00,148.66,148.66,148.63,148.63,669
2022-07-15 06:30:00,148.58,148.77,148.58,148.77,1641
2022-07-15 06:15:00,148.62,148.62,148.55,148.55,2120
2022-07-15 06:00:00,148.73,148.73,148.7,148.7,2355
2022-07-15 05:45:00,148.9,148.9,148.8,148.8,786
2022-07-15 05:30:00,148.86,148.86,148.65,148.68,4242
2022-07-15 05:15:00,148.75,148.99,148.75,148.92,4472
2022-07-15 05:00:00,148.92,149.04,148.75,148.75,16891
2022-07-15 04:45:00,148.59,148.92,148.48,148.92,6784
2022-07-15 04:30:00,148.32,148.54,148.3,148.54,9397
2022-07-15 04:15:00,148.3,148.64,148.25,148.32,16527
2022-07-14 20:00:00,149.26,149.4,149.22,149.37,24495
2022-07-14 19:45:00,149.04,149.3,149.04,149.3,25708
2022-07-14 19:30:00,149.07,149.1,149.0,149.05,7189
2022-07-14 19:15:00,149.0,149.1,149.0,149.05,9918
2022-07-14 19:00:00,149.07,149.19,149.05,149.06,22657
2022-07-14 18:45:00,148.87,149.08,148.82,149.06,30503
2022-07-14 18:30:00,148.79,148.91,148.75,148.84,18091
2022-07-14 18:15:00,148.7,148.8,148.66,148.78,17673
2022-07-14 18:00:00,148.7,148.7393,148.67,148.71,7389
2022-07-14 17:45:00,148.65,148.7,148.61,148.7,6197
2022-07-14 17:30:00,148.5701,148.64,148.5701,148.64,6882
2022-07-14 17:15:00,148.58,148.61,148.55,148.6,9126
2022-07-14 17:00:00,148.6,148.62,148.47,148.57,28341
2022-07-14 16:45:00,148.4145,148.63,148.41,148.6,261060
2022-07-14 16:30:00,148.47,148.47,148.31,148.43,40824
2022-07-14 16:15:00,148.47,148.67,148.37,148.47,1330520
2022-07-14 16:00:00,148.41,148.67,148.03,148.48,5010063
2022-07-14 15:45:00,148.85,148.95,148.35,148.42,2484359
2022-07-14 15:30:00,148.64,148.95,148.43,148.86,2191650
2022-07-14 15:15:00,148.68,148.85,148.27,148.64,2469345
2022-07-14 15:00:00,148.47,148.81,148.31,148.6794,2096829
